Frame,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
124,0.7149,1.5755,0.1198,-0.1378,0.0049,-0.0717,0.9878
125,0.7146,1.5754,0.1206,-0.1384,0.0048,-0.0712,0.9878
126,0.7144,1.5751,0.1211,-0.1372,0.0047,-0.0702,0.988
127,0.7145,1.5751,0.1213,-0.1374,0.0045,-0.0701,0.988
128,0.7153,1.5756,0.122,-0.1401,0.0064,-0.071,0.9876
129,0.7175,1.5754,0.1227,-0.1414,0.0136,-0.0735,0.9871
130,0.7198,1.5755,0.1231,-0.1429,0.0199,-0.0754,0.9867
131,0.7211,1.5761,0.1229,-0.1457,0.0208,-0.0771,0.9861
132,0.7214,1.5763,0.1227,-0.1465,0.0171,-0.0766,0.9861
133,0.7214,1.5759,0.1224,-0.144,0.0134,-0.076,0.9866
134,0.7215,1.5761,0.1221,-0.1446,0.0117,-0.0764,0.9865
135,0.7214,1.5763,0.1216,-0.1455,0.0104,-0.077,0.9863
136,0.7212,1.5764,0.1214,-0.146,0.0094,-0.0763,0.9863
137,0.7222,1.5774,0.1213,-0.1505,0.0126,-0.0789,0.9854
138,0.7249,1.5776,0.121,-0.1524,0.0226,-0.0802,0.9848
139,0.7274,1.5779,0.1209,-0.1545,0.0294,-0.0822,0.9841
140,0.7308,1.5785,0.1212,-0.154,0.0331,-0.0841,0.9839
141,0.7365,1.5792,0.1226,-0.1516,0.0328,-0.0813,0.9845
142,0.749,1.5792,0.1262,-0.151,0.029,-0.0803,0.9848
143,0.7663,1.5779,0.1302,-0.1497,0.0284,-0.0819,0.9849
144,0.7883,1.5771,0.1342,-0.1481,0.0351,-0.0914,0.9841
145,0.8117,1.5763,0.1383,-0.1474,0.0425,-0.099,0.9832
146,0.8335,1.5748,0.1429,-0.1425,0.0417,-0.1029,0.9836
147,0.8491,1.5713,0.147,-0.1351,0.031,-0.1055,0.9847
148,0.8545,1.568,0.1478,-0.1306,0.017,-0.1093,0.9852
149,0.8496,1.5681,0.1448,-0.1242,0.0052,-0.1055,0.9866
150,0.837,1.5688,0.1407,-0.1266,-0.0034,-0.102,0.9867
151,0.819,1.5687,0.1358,-0.1273,-0.0062,-0.1038,0.9864
152,0.7996,1.5703,0.1296,-0.1307,0.0031,-0.1095,0.9853
153,0.7795,1.5722,0.1218,-0.1348,0.0117,-0.1096,0.9847
154,0.7499,1.5735,0.1107,-0.1395,0.0131,-0.1081,0.9842
155,0.7253,1.5728,0.101,-0.1384,0.0111,-0.1031,0.9849
156,0.6953,1.5711,0.0882,-0.1388,0.0115,-0.0965,0.9855
157,0.6709,1.5693,0.0778,-0.1393,0.0129,-0.091,0.986
158,0.6521,1.5662,0.0707,-0.1384,0.0155,-0.0867,0.9865
159,0.6416,1.5642,0.067,-0.1341,0.0163,-0.0822,0.9874
160,0.6388,1.565,0.0652,-0.1281,0.0127,-0.0789,0.9885
161,0.6437,1.5645,0.0665,-0.1245,0.0086,-0.0788,0.9891
162,0.6544,1.5648,0.07,-0.1124,0.0107,-0.0818,0.9902
163,0.6676,1.5625,0.0755,-0.0952,0.0199,-0.0803,0.992
164,0.6821,1.5587,0.0826,-0.0782,0.0308,-0.0808,0.9932
165,0.695,1.555,0.0888,-0.0591,0.0387,-0.0822,0.9941
166,0.7075,1.5515,0.0937,-0.0439,0.0447,-0.0827,0.9946
167,0.7191,1.5485,0.0962,-0.0315,0.0526,-0.0856,0.9944
168,0.7306,1.5466,0.0966,-0.0261,0.0661,-0.0867,0.9937
